Anfield, Football, 54074
Celtic Park, Football, 60411
Elland Road, Football, 37890
Emirates Stadium, Football, 60260
Etihad Stadium, Football, 55097
Goodison Park, Football, 40394
Hillsborough Stadium, Football, 39732
Ibrox Stadium, Football, 50817
London Stadium, Football, 60000
Millenium Stadium, Rugby, 74500
Murrayfield Stadium, Rugby, 67144
Old Trafford, Football, 75731
Riverside Stadium, Football, 34742
Stadium of Light, Football, 49000
Stamford Bridge, Football, 41841
St James Park, Football, 52404
Tottenham Hotspur Stadium, Football, 62850
Twickenham Stadium, Rugby, 82000
Villa Park, Football, 42573
Wembley Stadium, Football, 90000